ligand,iteration,com_distance
5wuk_ligand,0,0
5wuk_ligand,1,0.385641
5wuk_ligand,2,0.202816
5wuk_ligand,3,0.509247
5wuk_ligand,4,0.308168
5wuk_ligand,5,0.555299
5wuk_ligand,6,0.325886
5wuk_ligand,7,0.687673
5wuk_ligand,8,0.44294
5wuk_ligand,9,0.393313
5wuk_ligand,10,0.38275
5wuk_ligand,11,0.472633
5wuk_ligand,12,0.593549
5wuk_ligand,13,0.460307
5wuk_ligand,14,0.552417
5wuk_ligand,15,0.63869
5wuk_ligand,16,0.848353
5wuk_ligand,17,0.816582
5wuk_ligand,18,1.00315
5wuk_ligand,19,1.07212
5wuk_ligand,20,0.970052
5wuk_ligand,21,0.849337
5wuk_ligand,22,1.09509
5wuk_ligand,23,0.85559
5wuk_ligand,24,0.963389
5wuk_ligand,25,0.90253
5wuk_ligand,26,1.11569
5wuk_ligand,27,1.02371
5wuk_ligand,28,0.955155
5wuk_ligand,29,0.995278
5wuk_ligand,30,1.00423
5wuk_ligand,31,0.964905
5wuk_ligand,32,0.927395
5wuk_ligand,33,1.07476
5wuk_ligand,34,0.908
5wuk_ligand,35,1.0819
5wuk_ligand,36,0.912135
5wuk_ligand,37,0.960759
5wuk_ligand,38,1.07709
5wuk_ligand,39,0.842907
5wuk_ligand,40,1.02258
5wuk_ligand,41,0.982202
5wuk_ligand,42,1.15976
5wuk_ligand,43,0.941824
5wuk_ligand,44,0.997833
5wuk_ligand,45,1.09609
5wuk_ligand,46,0.950701
5wuk_ligand,47,1.01134
5wuk_ligand,48,1.08079
5wuk_ligand,49,1.17089
5wuk_ligand,50,0.990137
5wuk_ligand,51,0.984817
5wuk_ligand,52,1.04282
5wuk_ligand,53,1.09455
5wuk_ligand,54,0.963748
5wuk_ligand,55,1.22087
5wuk_ligand,56,1.0043
5wuk_ligand,57,1.21679
5wuk_ligand,58,1.07126
5wuk_ligand,59,1.17614
5wuk_ligand,60,1.00778
5wuk_ligand,61,1.31523
5wuk_ligand,62,1.0522
5wuk_ligand,63,0.944952
5wuk_ligand,64,1.16863
5wuk_ligand,65,1.04532
5wuk_ligand,66,1.16244
5wuk_ligand,67,0.987179
5wuk_ligand,68,1.33848
5wuk_ligand,69,1.06622
5wuk_ligand,70,1.00636
5wuk_ligand,71,1.34792
5wuk_ligand,72,1.2823
5wuk_ligand,73,1.38273
5wuk_ligand,74,1.23299
5wuk_ligand,75,1.31447
5wuk_ligand,76,1.20244
5wuk_ligand,77,1.21799
5wuk_ligand,78,1.18169
5wuk_ligand,79,1.22158
5wuk_ligand,80,1.14005
5wuk_ligand,81,1.13784
5wuk_ligand,82,1.19409
5wuk_ligand,83,1.22463
5wuk_ligand,84,1.11422
5wuk_ligand,85,1.1592
5wuk_ligand,86,0.99548
5wuk_ligand,87,1.10951
5wuk_ligand,88,1.06384
5wuk_ligand,89,1.19388
5wuk_ligand,90,1.02439
5wuk_ligand,91,1.13181
5wuk_ligand,92,1.15538
5wuk_ligand,93,1.24791
5wuk_ligand,94,1.1044
5wuk_ligand,95,0.987634
5wuk_ligand,96,1.26936
5wuk_ligand,97,1.26873
5wuk_ligand,98,1.39421
5wuk_ligand,99,1.23083
5wuk_ligand,100,1.38581
5wuk_ligand,101,0.929886
5wuk_ligand,102,1.19254
5wuk_ligand,103,1.08901
5wuk_ligand,104,1.06442
5wuk_ligand,105,1.16596
5wuk_ligand,106,1.08486
5wuk_ligand,107,1.11469
5wuk_ligand,108,1.08333
5wuk_ligand,109,1.11438
5wuk_ligand,110,1.08411
5wuk_ligand,111,1.11094
5wuk_ligand,112,1.17196
5wuk_ligand,113,1.15985
5wuk_ligand,114,1.08221
5wuk_ligand,115,1.12159
5wuk_ligand,116,1.10328
5wuk_ligand,117,1.12988
5wuk_ligand,118,1.09548
