ligand,iteration,com_distance
4few_ligand,0,0
4few_ligand,1,0.38734
4few_ligand,2,0.595453
4few_ligand,3,0.689471
4few_ligand,4,0.807117
4few_ligand,5,0.78978
4few_ligand,6,0.857823
4few_ligand,7,0.969106
4few_ligand,8,0.966489
4few_ligand,9,0.975228
4few_ligand,10,1.00924
4few_ligand,11,1.0488
4few_ligand,12,1.20193
4few_ligand,13,1.50791
4few_ligand,14,1.53892
4few_ligand,15,1.53127
4few_ligand,16,1.75144
4few_ligand,17,1.75705
4few_ligand,18,1.93067
4few_ligand,19,2.31675
4few_ligand,20,2.34592
4few_ligand,21,2.20541
4few_ligand,22,2.48481
4few_ligand,23,2.22345
4few_ligand,24,2.44186
4few_ligand,25,2.33677
4few_ligand,26,2.21042
4few_ligand,27,2.36422
4few_ligand,28,2.21632
4few_ligand,29,2.43714
4few_ligand,30,2.29286
4few_ligand,31,2.49678
4few_ligand,32,2.34995
4few_ligand,33,2.2338
4few_ligand,34,2.42923
4few_ligand,35,2.22974
4few_ligand,36,2.44933
4few_ligand,37,2.2206
4few_ligand,38,2.46426
4few_ligand,39,2.2395
4few_ligand,40,2.47332
4few_ligand,41,2.24328
4few_ligand,42,2.50963
4few_ligand,43,2.21095
4few_ligand,44,2.4614
4few_ligand,45,2.23193
4few_ligand,46,2.46777
4few_ligand,47,2.22461
4few_ligand,48,2.47656
4few_ligand,49,2.24828
4few_ligand,50,2.40962
4few_ligand,51,2.24727
4few_ligand,52,2.50196
4few_ligand,53,2.26824
4few_ligand,54,2.51053
4few_ligand,55,2.21377
4few_ligand,56,2.40496
4few_ligand,57,2.31206
4few_ligand,58,2.32263
4few_ligand,59,2.67739
4few_ligand,60,2.38683
4few_ligand,61,2.27653
4few_ligand,62,2.53826
4few_ligand,63,2.32274
4few_ligand,64,2.57102
4few_ligand,65,2.32783
4few_ligand,66,2.18528
4few_ligand,67,2.57959
4few_ligand,68,2.39732
4few_ligand,69,2.29946
4few_ligand,70,2.39536
4few_ligand,71,2.17847
4few_ligand,72,2.55281
4few_ligand,73,2.2615
4few_ligand,74,2.65933
4few_ligand,75,2.56621
4few_ligand,76,2.22993
4few_ligand,77,2.51601
4few_ligand,78,2.24166
4few_ligand,79,2.58399
4few_ligand,80,2.27701
4few_ligand,81,2.59832
4few_ligand,82,2.31658
4few_ligand,83,2.22675
4few_ligand,84,2.67812
4few_ligand,85,2.50384
4few_ligand,86,2.3688
4few_ligand,87,2.5123
4few_ligand,88,2.39279
4few_ligand,89,2.38483
4few_ligand,90,2.28982
4few_ligand,91,2.20012
4few_ligand,92,2.64534
4few_ligand,93,2.20171
4few_ligand,94,2.65027
4few_ligand,95,2.27861
4few_ligand,96,2.20187
4few_ligand,97,2.61964
4few_ligand,98,2.39132
4few_ligand,99,2.28704
4few_ligand,100,2.49315
4few_ligand,101,2.29372
4few_ligand,102,2.4764
4few_ligand,103,2.30641
4few_ligand,104,2.71562
4few_ligand,105,2.08876
4few_ligand,106,2.77041
4few_ligand,107,2.28387
4few_ligand,108,2.23704
4few_ligand,109,2.52267
4few_ligand,110,2.29187
4few_ligand,111,2.54108
4few_ligand,112,2.3174
4few_ligand,113,2.57102
4few_ligand,114,2.2474
4few_ligand,115,2.46637
4few_ligand,116,2.32391
4few_ligand,117,2.41458
4few_ligand,118,2.35339
4few_ligand,119,2.46782
4few_ligand,120,2.24668
4few_ligand,121,2.58199
4few_ligand,122,2.34768
4few_ligand,123,2.5355
4few_ligand,124,2.34443
4few_ligand,125,2.23089
4few_ligand,126,2.53704
4few_ligand,127,2.29128
4few_ligand,128,2.49025
4few_ligand,129,2.28601
4few_ligand,130,2.64279
4few_ligand,131,2.21709
4few_ligand,132,2.51947
4few_ligand,133,2.13037
4few_ligand,134,2.40564
4few_ligand,135,2.23258
4few_ligand,136,2.43579
4few_ligand,137,2.25899
4few_ligand,138,2.554
4few_ligand,139,2.30079
4few_ligand,140,2.42527
4few_ligand,141,2.27985
4few_ligand,142,2.63481
4few_ligand,143,2.33266
4few_ligand,144,2.45554
4few_ligand,145,2.37278
4few_ligand,146,2.52289
4few_ligand,147,2.2631
4few_ligand,148,2.6846
4few_ligand,149,2.37813
4few_ligand,150,2.57598
4few_ligand,151,2.4023
4few_ligand,152,2.30356
4few_ligand,153,2.57988
4few_ligand,154,2.3215
4few_ligand,155,2.66136
4few_ligand,156,2.20216
4few_ligand,157,2.5739
4few_ligand,158,2.19545
4few_ligand,159,2.42428
4few_ligand,160,2.23888
4few_ligand,161,2.64159
4few_ligand,162,2.38761
4few_ligand,163,2.78745
4few_ligand,164,2.35152
4few_ligand,165,2.82285
4few_ligand,166,2.1804
4few_ligand,167,2.77114
4few_ligand,168,2.00794
4few_ligand,169,2.82701
4few_ligand,170,2.74611
4few_ligand,171,2.36359
4few_ligand,172,2.17144
4few_ligand,173,2.78891
