ligand,iteration,standalone_ls_score
5wuk_ligand,1,-10.5758
5wuk_ligand,2,-10.5888
5wuk_ligand,3,-10.6016
5wuk_ligand,4,-10.6136
5wuk_ligand,5,-10.6225
5wuk_ligand,6,-10.6306
5wuk_ligand,7,-10.6383
5wuk_ligand,8,-10.6458
5wuk_ligand,9,-10.6525
5wuk_ligand,10,-10.6544
5wuk_ligand,11,-10.6569
5wuk_ligand,12,-10.658
5wuk_ligand,13,-10.6603
5wuk_ligand,14,-10.6638
5wuk_ligand,15,-10.6671
5wuk_ligand,16,-10.6678
5wuk_ligand,17,-10.6714
5wuk_ligand,18,-10.6661
5wuk_ligand,19,-10.6713
5wuk_ligand,20,-10.674
5wuk_ligand,21,-10.6735
5wuk_ligand,22,-10.6758
5wuk_ligand,23,-10.6731
5wuk_ligand,24,-10.6731
5wuk_ligand,25,-10.6747
5wuk_ligand,26,-10.675
5wuk_ligand,27,-10.6772
5wuk_ligand,28,-10.6753
5wuk_ligand,29,-10.6746
5wuk_ligand,30,-10.6743
5wuk_ligand,31,-10.6767
5wuk_ligand,32,-10.6769
5wuk_ligand,33,-10.6788
5wuk_ligand,34,-10.6731
5wuk_ligand,35,-10.6762
5wuk_ligand,36,-10.6777
5wuk_ligand,37,-10.6786
5wuk_ligand,38,-10.6802
5wuk_ligand,39,-10.6756
5wuk_ligand,40,-10.6783
5wuk_ligand,41,-10.6768
5wuk_ligand,42,-10.6798
5wuk_ligand,43,-10.6804
5wuk_ligand,44,-10.6776
5wuk_ligand,45,-10.6791
5wuk_ligand,46,-10.6775
5wuk_ligand,47,-10.6806
5wuk_ligand,48,-10.6811
5wuk_ligand,49,-10.6794
5wuk_ligand,50,-10.6797
5wuk_ligand,51,-10.6798
5wuk_ligand,52,-10.6807
5wuk_ligand,53,-10.6827
5wuk_ligand,54,-10.6802
5wuk_ligand,55,-10.6791
5wuk_ligand,56,-10.6812
5wuk_ligand,57,-10.6809
5wuk_ligand,58,-10.6826
5wuk_ligand,59,-10.682
5wuk_ligand,60,-10.6795
5wuk_ligand,61,-10.6811
5wuk_ligand,62,-10.6822
5wuk_ligand,63,-10.6837
5wuk_ligand,64,-10.6802
5wuk_ligand,65,-10.6805
5wuk_ligand,66,-10.682
5wuk_ligand,67,-10.6825
5wuk_ligand,68,-10.6835
5wuk_ligand,69,-10.6821
5wuk_ligand,70,-10.6813
5wuk_ligand,71,-10.6816
5wuk_ligand,72,-10.6827
5wuk_ligand,73,-10.6842
5wuk_ligand,74,-10.6824
5wuk_ligand,75,-10.6803
5wuk_ligand,76,-10.6825
5wuk_ligand,77,-10.6839
5wuk_ligand,78,-10.6843
5wuk_ligand,79,-10.6818
5wuk_ligand,80,-10.6822
5wuk_ligand,81,-10.6834
5wuk_ligand,82,-10.6831
5wuk_ligand,83,-10.6847
5wuk_ligand,84,-10.6818
5wuk_ligand,85,-10.6829
5wuk_ligand,86,-10.683
5wuk_ligand,87,-10.6847
5wuk_ligand,88,-10.6861
5wuk_ligand,89,-10.6798
5wuk_ligand,90,-10.683
5wuk_ligand,91,-10.6841
5wuk_ligand,92,-10.6851
5wuk_ligand,93,-10.6856
5wuk_ligand,94,-10.6803
5wuk_ligand,95,-10.6838
5wuk_ligand,96,-10.6832
5wuk_ligand,97,-10.6852
5wuk_ligand,98,-10.6862
5wuk_ligand,99,-10.6828
5wuk_ligand,100,-10.6839
5wuk_ligand,101,-10.6856
5wuk_ligand,102,-10.6859
5wuk_ligand,103,-10.6846
5wuk_ligand,104,-10.6838
5wuk_ligand,105,-10.6853
5wuk_ligand,106,-10.6853
5wuk_ligand,107,-10.687
5wuk_ligand,108,-10.6844
5wuk_ligand,109,-10.6826
5wuk_ligand,110,-10.6851
5wuk_ligand,111,-10.6869
5wuk_ligand,112,-10.6859
5wuk_ligand,113,-10.6828
5wuk_ligand,114,-10.6849
5wuk_ligand,115,-10.6851
5wuk_ligand,116,-10.687
5wuk_ligand,117,-10.6885
5wuk_ligand,118,-10.6842
5wuk_ligand,119,-10.6857
5wuk_ligand,120,-10.687
5wuk_ligand,121,-10.6875
5wuk_ligand,122,-10.6856
5wuk_ligand,123,-10.6858
5wuk_ligand,124,-10.6859
5wuk_ligand,125,-10.6874
5wuk_ligand,126,-10.6886
5wuk_ligand,127,-10.6826
5wuk_ligand,128,-10.6851
5wuk_ligand,129,-10.6874
5wuk_ligand,130,-10.688
5wuk_ligand,131,-10.6866
5wuk_ligand,132,-10.6861
5wuk_ligand,133,-10.6863
5wuk_ligand,134,-10.6878
5wuk_ligand,135,-10.6891
5wuk_ligand,136,-10.6831
5wuk_ligand,137,-10.6856
5wuk_ligand,138,-10.688
5wuk_ligand,139,-10.6883
5wuk_ligand,140,-10.6866
5wuk_ligand,141,-10.6867
5wuk_ligand,142,-10.6864
5wuk_ligand,143,-10.6884
5wuk_ligand,144,-10.6897
5wuk_ligand,145,-10.6851
5wuk_ligand,146,-10.6864
5wuk_ligand,147,-10.6888
5wuk_ligand,148,-10.6873
5wuk_ligand,149,-10.6857
5wuk_ligand,150,-10.6875
5wuk_ligand,151,-10.6859
5wuk_ligand,152,-10.6892
