ligand,iteration,standalone_ls_score
5cst_ligand,0,708719
5cst_ligand,1,648311
5cst_ligand,2,644322
5cst_ligand,3,644394
5cst_ligand,4,642189
5cst_ligand,5,636481
5cst_ligand,6,642198
5cst_ligand,7,619309
5cst_ligand,8,647465
5cst_ligand,9,619984
5cst_ligand,10,568843
5cst_ligand,11,581066
5cst_ligand,12,519434
5cst_ligand,13,533038
5cst_ligand,14,513354
5cst_ligand,15,552559
5cst_ligand,16,509348
5cst_ligand,17,484800
5cst_ligand,18,467071
5cst_ligand,19,477975
5cst_ligand,20,490203
5cst_ligand,21,453831
5cst_ligand,22,442826
5cst_ligand,23,418918
5cst_ligand,24,411686
5cst_ligand,25,420494
5cst_ligand,26,382534
5cst_ligand,27,409508
5cst_ligand,28,360797
5cst_ligand,29,344997
5cst_ligand,30,405882
5cst_ligand,31,313756
5cst_ligand,32,371011
5cst_ligand,33,353749
5cst_ligand,34,383725
5cst_ligand,35,367916
5cst_ligand,36,350338
5cst_ligand,37,335955
5cst_ligand,38,303138
5cst_ligand,39,292764
5cst_ligand,40,354592
5cst_ligand,41,292903
5cst_ligand,42,273340
5cst_ligand,43,242125
5cst_ligand,44,281941
5cst_ligand,45,306304
5cst_ligand,46,314116
5cst_ligand,47,219243
5cst_ligand,48,223763
5cst_ligand,49,215183
5cst_ligand,50,257105
5cst_ligand,51,244108
5cst_ligand,52,213679
5cst_ligand,53,218073
5cst_ligand,54,232487
5cst_ligand,55,246029
5cst_ligand,56,201008
5cst_ligand,57,253622
5cst_ligand,58,181119
5cst_ligand,59,191319
5cst_ligand,60,192534
5cst_ligand,61,221348
5cst_ligand,62,171298
5cst_ligand,63,173829
5cst_ligand,64,207441
5cst_ligand,65,165375
5cst_ligand,66,171575
5cst_ligand,67,200127
5cst_ligand,68,254764
5cst_ligand,69,164049
5cst_ligand,70,171300
5cst_ligand,71,192068
5cst_ligand,72,165949
5cst_ligand,73,165637
5cst_ligand,74,168051
5cst_ligand,75,162603
5cst_ligand,76,143879
5cst_ligand,77,167590
5cst_ligand,78,190160
5cst_ligand,79,165854
5cst_ligand,80,166736
5cst_ligand,81,163710
5cst_ligand,82,188000
5cst_ligand,83,161052
5cst_ligand,84,130150
5cst_ligand,85,134470
5cst_ligand,86,151156
5cst_ligand,87,157203
5cst_ligand,88,174331
5cst_ligand,89,145659
5cst_ligand,90,220881
