ligand,iteration,standalone_ls_score
2ya6_ligand,0,538076
2ya6_ligand,1,325227
2ya6_ligand,2,276720
2ya6_ligand,3,286641
2ya6_ligand,4,203425
2ya6_ligand,5,219382
2ya6_ligand,6,153911
2ya6_ligand,7,194714
2ya6_ligand,8,223613
2ya6_ligand,9,161716
2ya6_ligand,10,183114
2ya6_ligand,11,133656
2ya6_ligand,12,165123
2ya6_ligand,13,98680.3
2ya6_ligand,14,124641
2ya6_ligand,15,121360
2ya6_ligand,16,78994.5
2ya6_ligand,17,71224.3
2ya6_ligand,18,94853.6
2ya6_ligand,19,87444.6
2ya6_ligand,20,118600
2ya6_ligand,21,72240.2
2ya6_ligand,22,77256.6
2ya6_ligand,23,54986.5
2ya6_ligand,24,90073.1
2ya6_ligand,25,89282.3
2ya6_ligand,26,60377.6
2ya6_ligand,27,83063.5
2ya6_ligand,28,73537.4
2ya6_ligand,29,56463.4
2ya6_ligand,30,113739
2ya6_ligand,31,72651
2ya6_ligand,32,55037.4
2ya6_ligand,33,65639
2ya6_ligand,34,65074.2
2ya6_ligand,35,69312.5
2ya6_ligand,36,53450.8
2ya6_ligand,37,80886.9
2ya6_ligand,38,62757.1
2ya6_ligand,39,50663.7
2ya6_ligand,40,51866.3
2ya6_ligand,41,47427.1
2ya6_ligand,42,43612.9
2ya6_ligand,43,50392.6
2ya6_ligand,44,41637.3
2ya6_ligand,45,63853.9
2ya6_ligand,46,52353.7
2ya6_ligand,47,47769.3
2ya6_ligand,48,38801.5
2ya6_ligand,49,45910
2ya6_ligand,50,46918.7
2ya6_ligand,51,49674.7
2ya6_ligand,52,56235.1
2ya6_ligand,53,67428.5
2ya6_ligand,54,48310.5
2ya6_ligand,55,85502.7
2ya6_ligand,56,72492.7
2ya6_ligand,57,111737
2ya6_ligand,58,58505.4
2ya6_ligand,59,43585.8
2ya6_ligand,60,42527.5
2ya6_ligand,61,39562.1
2ya6_ligand,62,36802.6
2ya6_ligand,63,54043.8
2ya6_ligand,64,62236.1
2ya6_ligand,65,50817.7
2ya6_ligand,66,67911.9
2ya6_ligand,67,45417.6
2ya6_ligand,68,36752.4
2ya6_ligand,69,41262.3
2ya6_ligand,70,45498.9
2ya6_ligand,71,33498.7
2ya6_ligand,72,37181.7
2ya6_ligand,73,34086.1
2ya6_ligand,74,40857.4
2ya6_ligand,75,38185.4
2ya6_ligand,76,38583.8
2ya6_ligand,77,40843.4
2ya6_ligand,78,39330.4
2ya6_ligand,79,60431.1
2ya6_ligand,80,54547.5
2ya6_ligand,81,40469.2
2ya6_ligand,82,37207.5
2ya6_ligand,83,42019.1
2ya6_ligand,84,35784.3
2ya6_ligand,85,53815.6
2ya6_ligand,86,40660.5
2ya6_ligand,87,47408.6
2ya6_ligand,88,84280
2ya6_ligand,89,78678.7
2ya6_ligand,90,76273.8
2ya6_ligand,91,41286.7
2ya6_ligand,92,35383.8
2ya6_ligand,93,39856.9
2ya6_ligand,94,33512.7
2ya6_ligand,95,34152.5
2ya6_ligand,96,44466.3
2ya6_ligand,97,46146.8
2ya6_ligand,98,43248.2
2ya6_ligand,99,48348.4
2ya6_ligand,100,35541.2
2ya6_ligand,101,39165.5
2ya6_ligand,102,42713.4
2ya6_ligand,103,37288.4
2ya6_ligand,104,43277.8
2ya6_ligand,105,48094.6
2ya6_ligand,106,46956.7
2ya6_ligand,107,42685.4
2ya6_ligand,108,34986.7
2ya6_ligand,109,44130.8
2ya6_ligand,110,38037.4
2ya6_ligand,111,44042.2
2ya6_ligand,112,69028.2
2ya6_ligand,113,51231.2
2ya6_ligand,114,72817.5
2ya6_ligand,115,33018.9
2ya6_ligand,116,31305.1
2ya6_ligand,117,57194.5
2ya6_ligand,118,65155.6
2ya6_ligand,119,81869.2
2ya6_ligand,120,56821.1
2ya6_ligand,121,41390.7
2ya6_ligand,122,38193.6
2ya6_ligand,123,31469.3
2ya6_ligand,124,37080.8
2ya6_ligand,125,45641.6
2ya6_ligand,126,35929.1
2ya6_ligand,127,31420.9
2ya6_ligand,128,28272
2ya6_ligand,129,35015.9
2ya6_ligand,130,33667.8
2ya6_ligand,131,27011.1
2ya6_ligand,132,32732.4
2ya6_ligand,133,35787.9
2ya6_ligand,134,37383
2ya6_ligand,135,37229.9
2ya6_ligand,136,36511
2ya6_ligand,137,33896.6
2ya6_ligand,138,38400.9
2ya6_ligand,139,50152.1
2ya6_ligand,140,42440.4
2ya6_ligand,141,37981.3
2ya6_ligand,142,33956.2
2ya6_ligand,143,37144.3
2ya6_ligand,144,39606
2ya6_ligand,145,30841.1
2ya6_ligand,146,47020.1
2ya6_ligand,147,42315.6
2ya6_ligand,148,39536.5
2ya6_ligand,149,39617.4
2ya6_ligand,150,39653.4
2ya6_ligand,151,33699.2
2ya6_ligand,152,33420.5
2ya6_ligand,153,48187.5
2ya6_ligand,154,31734.5
2ya6_ligand,155,37059.1
2ya6_ligand,156,42603.7
2ya6_ligand,157,38488.5
2ya6_ligand,158,41400.6
2ya6_ligand,159,47567
2ya6_ligand,160,40046.7
2ya6_ligand,161,42101.8
2ya6_ligand,162,38179
2ya6_ligand,163,34761.2
2ya6_ligand,164,29657
2ya6_ligand,165,40085.8
2ya6_ligand,166,33402.4
2ya6_ligand,167,34917.3
2ya6_ligand,168,40418.1
2ya6_ligand,169,37918.5
2ya6_ligand,170,55112.5
2ya6_ligand,171,63414.2
2ya6_ligand,172,65336.1
2ya6_ligand,173,79761.9
2ya6_ligand,174,83635.7
2ya6_ligand,175,141890
2ya6_ligand,176,69454
2ya6_ligand,177,66768.9
2ya6_ligand,178,41232.6
2ya6_ligand,179,34179.2
2ya6_ligand,180,34394.2
2ya6_ligand,181,26586.8
2ya6_ligand,182,33640.8
2ya6_ligand,183,35247.4
2ya6_ligand,184,29755.5
2ya6_ligand,185,34487.1
2ya6_ligand,186,33544.3
2ya6_ligand,187,31111.6
2ya6_ligand,188,36063.2
2ya6_ligand,189,34350.4
2ya6_ligand,190,26890
2ya6_ligand,191,37192.2
2ya6_ligand,192,35603.2
2ya6_ligand,193,31170
2ya6_ligand,194,38561.8
2ya6_ligand,195,38581.7
2ya6_ligand,196,33704.2
2ya6_ligand,197,40339.6
2ya6_ligand,198,38942.8
2ya6_ligand,199,29106.8
2ya6_ligand,200,65112.1
2ya6_ligand,201,36074.7
2ya6_ligand,202,37259.5
2ya6_ligand,203,40626.1
2ya6_ligand,204,43954.1
2ya6_ligand,205,28737.6
2ya6_ligand,206,27161
2ya6_ligand,207,38322.8
2ya6_ligand,208,29774.4
2ya6_ligand,209,32986.2
2ya6_ligand,210,34117.2
2ya6_ligand,211,28029.1
2ya6_ligand,212,32678.7
2ya6_ligand,213,34457.9
2ya6_ligand,214,35045.5
2ya6_ligand,215,41883
2ya6_ligand,216,44070.4
2ya6_ligand,217,33538.6
2ya6_ligand,218,44496.2
2ya6_ligand,219,35146.2
2ya6_ligand,220,34156
2ya6_ligand,221,30987.4
2ya6_ligand,222,41717.6
2ya6_ligand,223,44325.1
2ya6_ligand,224,25495.7
2ya6_ligand,225,28511.3
2ya6_ligand,226,52679.6
2ya6_ligand,227,41044
2ya6_ligand,228,26332.4
2ya6_ligand,229,68140.7
2ya6_ligand,230,50135.7
2ya6_ligand,231,48722.2
2ya6_ligand,232,47456.2
2ya6_ligand,233,35040.6
2ya6_ligand,234,36523.5
2ya6_ligand,235,36903.3
2ya6_ligand,236,28934.3
2ya6_ligand,237,32072.6
2ya6_ligand,238,34551.5
2ya6_ligand,239,26360.2
2ya6_ligand,240,30679.8
2ya6_ligand,241,45844.5
2ya6_ligand,242,44949.9
2ya6_ligand,243,41232.2
2ya6_ligand,244,25913.8
2ya6_ligand,245,32095.8
2ya6_ligand,246,31859.6
2ya6_ligand,247,26166.3
2ya6_ligand,248,35925.3
2ya6_ligand,249,30683.2
2ya6_ligand,250,26501.8
2ya6_ligand,251,37627.3
2ya6_ligand,252,26830.1
2ya6_ligand,253,35766.3
2ya6_ligand,254,41679.8
2ya6_ligand,255,26542.1
2ya6_ligand,256,29243.5
2ya6_ligand,257,47692.5
2ya6_ligand,258,37852.8
2ya6_ligand,259,29178.3
2ya6_ligand,260,30191
2ya6_ligand,261,39916.3
2ya6_ligand,262,30927.1
2ya6_ligand,263,43637.6
2ya6_ligand,264,43845.5
2ya6_ligand,265,41108.3
2ya6_ligand,266,64929.9
2ya6_ligand,267,46980.3
2ya6_ligand,268,37446.8
2ya6_ligand,269,36086.1
2ya6_ligand,270,56217.3
2ya6_ligand,271,91057
2ya6_ligand,272,58095.5
2ya6_ligand,273,51759.1
2ya6_ligand,274,39935
2ya6_ligand,275,27724.5
2ya6_ligand,276,29805.7
2ya6_ligand,277,31257.1
2ya6_ligand,278,26112.9
2ya6_ligand,279,31901.8
2ya6_ligand,280,25442.1
2ya6_ligand,281,32579.9
2ya6_ligand,282,31531.4
2ya6_ligand,283,26116.5
