ligand,iteration,standalone_ls_score
1fkb_ligand,0,2.40322e+06
1fkb_ligand,1,2.26777e+06
1fkb_ligand,2,2.11681e+06
1fkb_ligand,3,2.03343e+06
1fkb_ligand,4,1.95038e+06
1fkb_ligand,5,1.93794e+06
1fkb_ligand,6,1.89667e+06
1fkb_ligand,7,1.80184e+06
1fkb_ligand,8,1.82314e+06
1fkb_ligand,9,1.77871e+06
1fkb_ligand,10,1.85028e+06
1fkb_ligand,11,1.75308e+06
1fkb_ligand,12,1.72911e+06
1fkb_ligand,13,1.69781e+06
1fkb_ligand,14,1.68346e+06
1fkb_ligand,15,1.64271e+06
1fkb_ligand,16,1.63375e+06
1fkb_ligand,17,1.62822e+06
1fkb_ligand,18,1.65716e+06
1fkb_ligand,19,1.62188e+06
1fkb_ligand,20,1.67735e+06
1fkb_ligand,21,1.73647e+06
1fkb_ligand,22,1.73539e+06
1fkb_ligand,23,1.60214e+06
1fkb_ligand,24,1.57612e+06
1fkb_ligand,25,1.64798e+06
1fkb_ligand,26,1.64828e+06
1fkb_ligand,27,1.68863e+06
1fkb_ligand,28,1.66236e+06
1fkb_ligand,29,1.69235e+06
1fkb_ligand,30,1.68215e+06
1fkb_ligand,31,1.58774e+06
1fkb_ligand,32,1.60359e+06
1fkb_ligand,33,1.54589e+06
1fkb_ligand,34,1.66891e+06
1fkb_ligand,35,1.65042e+06
1fkb_ligand,36,1.7448e+06
1fkb_ligand,37,1.70156e+06
1fkb_ligand,38,1.62241e+06
1fkb_ligand,39,1.59019e+06
1fkb_ligand,40,1.67371e+06
1fkb_ligand,41,1.62684e+06
1fkb_ligand,42,1.56176e+06
1fkb_ligand,43,1.53752e+06
1fkb_ligand,44,1.67063e+06
1fkb_ligand,45,1.69411e+06
1fkb_ligand,46,1.60086e+06
1fkb_ligand,47,1.57054e+06
1fkb_ligand,48,1.64583e+06
1fkb_ligand,49,1.5655e+06
1fkb_ligand,50,1.53343e+06
1fkb_ligand,51,1.53868e+06
1fkb_ligand,52,1.68919e+06
1fkb_ligand,53,1.57143e+06
1fkb_ligand,54,1.64515e+06
1fkb_ligand,55,1.8343e+06
1fkb_ligand,56,1.69992e+06
1fkb_ligand,57,1.56631e+06
1fkb_ligand,58,1.51018e+06
1fkb_ligand,59,1.58167e+06
1fkb_ligand,60,1.5988e+06
1fkb_ligand,61,1.48404e+06
1fkb_ligand,62,1.61352e+06
1fkb_ligand,63,1.65253e+06
1fkb_ligand,64,1.52389e+06
1fkb_ligand,65,1.51189e+06
1fkb_ligand,66,1.65245e+06
1fkb_ligand,67,1.65866e+06
1fkb_ligand,68,1.66386e+06
1fkb_ligand,69,1.52705e+06
1fkb_ligand,70,1.59434e+06
1fkb_ligand,71,1.57128e+06
1fkb_ligand,72,1.63989e+06
1fkb_ligand,73,1.65569e+06
1fkb_ligand,74,1.56853e+06
1fkb_ligand,75,1.48328e+06
1fkb_ligand,76,1.67481e+06
1fkb_ligand,77,1.65621e+06
1fkb_ligand,78,1.7187e+06
1fkb_ligand,79,1.60292e+06
1fkb_ligand,80,1.65269e+06
1fkb_ligand,81,1.66108e+06
1fkb_ligand,82,1.57475e+06
1fkb_ligand,83,1.61202e+06
1fkb_ligand,84,1.713e+06
1fkb_ligand,85,1.65743e+06
1fkb_ligand,86,1.68609e+06
1fkb_ligand,87,1.66984e+06
1fkb_ligand,88,1.6307e+06
1fkb_ligand,89,1.62151e+06
1fkb_ligand,90,1.50029e+06
1fkb_ligand,91,1.64922e+06
1fkb_ligand,92,1.86866e+06
1fkb_ligand,93,1.54738e+06
1fkb_ligand,94,1.67199e+06
1fkb_ligand,95,1.68706e+06
1fkb_ligand,96,1.61044e+06
1fkb_ligand,97,1.51179e+06
1fkb_ligand,98,1.59559e+06
1fkb_ligand,99,1.70953e+06
1fkb_ligand,100,1.62335e+06
1fkb_ligand,101,1.64502e+06
1fkb_ligand,102,1.56363e+06
1fkb_ligand,103,1.48497e+06
1fkb_ligand,104,1.67635e+06
1fkb_ligand,105,1.73598e+06
1fkb_ligand,106,1.71729e+06
1fkb_ligand,107,1.50421e+06
1fkb_ligand,108,1.60478e+06
1fkb_ligand,109,1.56639e+06
1fkb_ligand,110,1.53373e+06
1fkb_ligand,111,1.6385e+06
1fkb_ligand,112,1.51661e+06
1fkb_ligand,113,1.57317e+06
1fkb_ligand,114,1.48873e+06
1fkb_ligand,115,1.62108e+06
1fkb_ligand,116,1.47912e+06
1fkb_ligand,117,1.83396e+06
1fkb_ligand,118,1.69384e+06
1fkb_ligand,119,1.66426e+06
1fkb_ligand,120,1.58539e+06
1fkb_ligand,121,1.59974e+06
1fkb_ligand,122,1.60112e+06
1fkb_ligand,123,1.57984e+06
1fkb_ligand,124,1.48632e+06
1fkb_ligand,125,1.58168e+06
1fkb_ligand,126,1.61544e+06
1fkb_ligand,127,1.62734e+06
1fkb_ligand,128,1.47197e+06
1fkb_ligand,129,1.4679e+06
1fkb_ligand,130,1.6188e+06
1fkb_ligand,131,1.77316e+06
1fkb_ligand,132,1.55354e+06
1fkb_ligand,133,1.74268e+06
1fkb_ligand,134,1.50334e+06
1fkb_ligand,135,1.71361e+06
1fkb_ligand,136,1.53628e+06
1fkb_ligand,137,1.61022e+06
1fkb_ligand,138,1.5898e+06
1fkb_ligand,139,1.5421e+06
1fkb_ligand,140,1.48205e+06
1fkb_ligand,141,1.57934e+06
1fkb_ligand,142,1.57559e+06
1fkb_ligand,143,1.62529e+06
1fkb_ligand,144,1.58337e+06
1fkb_ligand,145,1.53854e+06
1fkb_ligand,146,1.61059e+06
1fkb_ligand,147,1.61159e+06
1fkb_ligand,148,1.67755e+06
1fkb_ligand,149,1.68212e+06
1fkb_ligand,150,1.55545e+06
1fkb_ligand,151,1.54157e+06
1fkb_ligand,152,1.67016e+06
1fkb_ligand,153,1.59554e+06
1fkb_ligand,154,1.53563e+06
1fkb_ligand,155,1.50194e+06
1fkb_ligand,156,1.68373e+06
1fkb_ligand,157,1.57375e+06
1fkb_ligand,158,1.5436e+06
1fkb_ligand,159,1.66077e+06
1fkb_ligand,160,1.54081e+06
1fkb_ligand,161,1.57535e+06
1fkb_ligand,162,1.59764e+06
1fkb_ligand,163,1.55795e+06
1fkb_ligand,164,1.49955e+06
1fkb_ligand,165,1.65034e+06
1fkb_ligand,166,1.57494e+06
1fkb_ligand,167,1.52515e+06
1fkb_ligand,168,1.68994e+06
1fkb_ligand,169,1.59103e+06
1fkb_ligand,170,1.65814e+06
1fkb_ligand,171,1.58066e+06
1fkb_ligand,172,1.57597e+06
1fkb_ligand,173,1.63823e+06
1fkb_ligand,174,1.63898e+06
1fkb_ligand,175,1.60174e+06
1fkb_ligand,176,1.58304e+06
1fkb_ligand,177,1.65898e+06
1fkb_ligand,178,1.63537e+06
1fkb_ligand,179,1.66292e+06
1fkb_ligand,180,1.60509e+06
1fkb_ligand,181,1.72344e+06
1fkb_ligand,182,1.60111e+06
1fkb_ligand,183,1.62971e+06
1fkb_ligand,184,1.60598e+06
1fkb_ligand,185,1.52145e+06
1fkb_ligand,186,1.57513e+06
1fkb_ligand,187,1.60848e+06
1fkb_ligand,188,1.59657e+06
1fkb_ligand,189,1.59474e+06
1fkb_ligand,190,1.60036e+06
1fkb_ligand,191,1.52754e+06
1fkb_ligand,192,1.52135e+06
1fkb_ligand,193,1.62267e+06
1fkb_ligand,194,1.67252e+06
1fkb_ligand,195,1.67075e+06
1fkb_ligand,196,1.55711e+06
1fkb_ligand,197,1.52365e+06
1fkb_ligand,198,1.72681e+06
1fkb_ligand,199,1.57403e+06
1fkb_ligand,200,1.78631e+06
1fkb_ligand,201,1.57577e+06
1fkb_ligand,202,1.64137e+06
1fkb_ligand,203,1.67745e+06
1fkb_ligand,204,1.62464e+06
1fkb_ligand,205,1.61079e+06
1fkb_ligand,206,1.59271e+06
1fkb_ligand,207,1.59704e+06
1fkb_ligand,208,1.56938e+06
1fkb_ligand,209,1.48542e+06
1fkb_ligand,210,1.49234e+06
1fkb_ligand,211,1.68431e+06
1fkb_ligand,212,1.4492e+06
1fkb_ligand,213,1.67957e+06
1fkb_ligand,214,1.6646e+06
1fkb_ligand,215,1.63243e+06
